id,layer,freq1985,rel_freq1985,buffer,metric1985,value1985,freq2020,rel_freq2020,metric2020,value2020,change_area_ha,change_area_prop,change_iso,change_iso_prop
166,0,26,0.11607142857142858,250,NA,NA,2,0.008928571428571428,NA,NA,-0.216,-0.10714285714285715,NA,NA
167,0,0,NA,250,enn_mn,0.0026949458523560566,0,NA,NA,NA,0,NA,NA,NA
168,0,37,0.1689497716894977,250,NA,NA,33,0.1506849315068493,NA,NA,-0.036,-0.0182648401826484,NA,NA
1,1,217,0.9559471365638766,250,NA,NA,220,0.9691629955947136,NA,NA,0.027,0.013215859030836996,NA,NA
2,1,9,0.039647577092511016,250,enn_mn,0.0029150296365853005,7,0.030837004405286344,enn_mn,0.003142819924865312,-0.018,-0.008810572687224672,2.277902882800117e-4,0.07814338675021083
3,1,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
4,1,223,1,250,NA,NA,223,1,NA,NA,0,0,NA,NA
5,1,206,0.9155555555555556,250,NA,NA,171,0.76,enn_mn,NA,-0.315,-0.15555555555555556,NA,NA
6,1,90,0.4017857142857143,250,enn_mn,0.0010305595069890043,50,0.22321428571428573,enn_mn,0.0010696518295938969,-0.36,-0.17857142857142858,3.909232260489257e-5,0.037933105599218614
7,1,228,1,250,NA,NA,228,1,NA,NA,0,0,NA,NA
8,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
9,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
10,1,1,0.004405286343612335,250,NA,NA,16,0.07048458149779736,enn_mn,9.881468125309803e-4,0.135,0.06607929515418502,NA,NA
11,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
12,1,142,0.6147186147186147,250,NA,NA,144,0.6233766233766234,NA,NA,0.018,0.008658008658008698,NA,NA
13,1,12,0.05217391304347826,250,NA,NA,24,0.10434782608695652,enn_mn,0.001591530163328904,0.108,0.05217391304347826,NA,NA
14,1,136,0.5811965811965812,250,enn_mn,NA,166,0.7094017094017094,enn_mn,NA,0.27,0.1282051282051282,NA,NA
15,1,74,0.3203463203463203,250,enn_mn,0.001143368692276304,74,0.3203463203463203,enn_mn,0.001347472926183002,0,0,2.0410423390669792e-4,0.17851130198462223
16,1,131,0.5574468085106383,250,enn_mn,NA,118,0.502127659574468,enn_mn,0.0010779783409446964,-0.117,-0.05531914893617029,NA,NA
17,1,91,0.3922413793103448,250,enn_mn,0.0012615303325162815,87,0.375,enn_mn,0.0014512727561304534,-0.036,-0.017241379310344807,1.8974242361417186e-4,0.15040654887441876
18,1,73,0.31196581196581197,250,enn_mn,9.716765455259702e-4,140,0.5982905982905983,enn_mn,6.433983491259622e-4,0.603,0.2863247863247863,-3.28278196400008e-4,-0.33784719607728153
19,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
20,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
21,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
22,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
23,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
24,1,121,0.5260869565217391,250,enn_mn,NA,123,0.5347826086956522,enn_mn,NA,0.018,0.008695652173913104,NA,NA
25,1,21,0.08898305084745763,250,enn_mn,0.003979039866701655,19,0.08050847457627118,NA,NA,-0.018,-0.008474576271186446,NA,NA
26,1,233,1,250,NA,NA,233,1,NA,NA,0,0,NA,NA
27,1,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
28,1,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
29,1,233,0.9872881355932204,250,enn_mn,NA,232,0.9830508474576272,enn_mn,NA,-0.009,-0.004237288135593209,NA,NA
30,1,43,0.18454935622317598,250,enn_mn,0.001943353091053911,48,0.20600858369098712,enn_mn,8.230614059494509e-4,0.045,0.02145922746781115,-0.0011202916851044602,-0.576473565334907
31,1,236,1,250,NA,NA,236,1,NA,NA,0,0,NA,NA
32,1,0,0,250,NA,NA,12,0.05063291139240506,NA,NA,0.108,0.05063291139240506,NA,NA
33,1,230,1,250,NA,NA,230,1,NA,NA,0,0,NA,NA
34,1,232,1,250,NA,NA,232,1,NA,NA,0,0,NA,NA
35,1,46,0.19491525423728814,250,enn_mn,0.001347472926178739,55,0.2330508474576271,enn_mn,8.628813523119698e-4,0.081,0.038135593220338965,-4.8459157386676914e-4,-0.35962991497054336
36,1,47,0.19747899159663865,250,enn_mn,0.0013671949403353558,74,0.31092436974789917,enn_mn,0.0019433530910578525,0.243,0.11344537815126052,5.761581507224968e-4,0.4214162397215809
37,1,0,0,250,NA,NA,4,0.017241379310344827,NA,NA,0.036,0.017241379310344827,NA,NA
38,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
39,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
40,1,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
41,1,188,0.7899159663865546,250,enn_mn,NA,151,0.634453781512605,enn_mn,8.522167064242026e-4,-0.333,-0.15546218487394958,NA,NA
42,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
43,1,171,0.7184873949579832,250,NA,NA,183,0.7689075630252101,NA,NA,0.108,0.050420168067226934,NA,NA
44,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
45,1,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
46,1,238,1,250,NA,NA,238,1,NA,NA,0,0,NA,NA
47,1,171,0.7184873949579832,250,enn_mn,NA,215,0.9033613445378151,enn_mn,NA,0.396,0.18487394957983194,NA,NA
48,1,199,0.8468085106382979,250,enn_mn,NA,143,0.6085106382978723,enn_mn,7.62245794854219e-4,-0.504,-0.23829787234042554,NA,NA
49,1,217,0.9194915254237288,250,enn_mn,NA,219,0.9279661016949152,enn_mn,NA,0.018,0.008474576271186418,NA,NA
50,1,224,0.9451476793248945,250,NA,NA,237,1,NA,NA,0.117,0.05485232067510548,NA,NA
51,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
52,1,87,0.3625,250,enn_mn,NA,87,0.3625,enn_mn,NA,0,0,NA,NA
53,1,0,0,250,NA,NA,2,0.008333333333333333,NA,NA,0.018,0.008333333333333333,NA,NA
54,1,14,0.05907172995780591,250,NA,NA,9,0.0379746835443038,NA,NA,-0.045,-0.02109704641350211,NA,NA
55,1,8,0.03375527426160337,250,enn_mn,0.001451272756123856,0,0,NA,NA,-0.072,-0.03375527426160337,NA,NA
56,1,78,0.3277310924369748,250,enn_mn,0.002172734807945289,65,0.27310924369747897,enn_mn,0.0014861731424962706,-0.117,-0.054621848739495826,-6.865616654490186e-4,-0.3159896288025532
57,1,76,0.3275862068965517,250,enn_mn,0.0011111546404530127,53,0.22844827586206898,enn_mn,0.001205216424312393,-0.207,-0.09913793103448273,9.406178385938028e-5,0.08465228910085074
58,1,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
59,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
60,1,6,0.025,250,enn_mn,6.026082121546077e-4,26,0.10833333333333334,enn_mn,6.026082121546077e-4,0.18,0.08333333333333334,0,0
61,1,206,0.8583333333333333,250,enn_mn,NA,204,0.85,enn_mn,NA,-0.018,-0.008333333333333304,NA,NA
62,1,223,0.9409282700421941,250,enn_mn,NA,206,0.869198312236287,enn_mn,NA,-0.153,-0.07172995780590719,NA,NA
63,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
64,1,35,0.14644351464435146,250,enn_mn,5.389891704723482e-4,29,0.12133891213389121,enn_mn,5.389891704723482e-4,-0.054,-0.025104602510460247,0,0
65,1,0,0,250,NA,NA,7,0.029411764705882353,enn_mn,8.785487433866729e-4,0.063,0.029411764705882353,NA,NA
66,1,98,0.4083333333333333,250,enn_mn,8.522167064309434e-4,88,0.36666666666666664,enn_mn,6.026082121546077e-4,-0.09,-0.041666666666666685,-2.496084942763357e-4,-0.2928932188171811
67,1,181,0.7541666666666667,250,enn_mn,6.026082121577853e-4,171,0.7125,enn_mn,7.62245794854219e-4,-0.09,-0.04166666666666663,1.5963758269643366e-4,0.26491106406401677
68,1,1,0.0041841004184100415,250,NA,NA,0,0,NA,NA,-0.009,-0.0041841004184100415,NA,NA
69,1,226,0.9416666666666667,250,enn_mn,NA,238,0.9916666666666667,NA,NA,0.108,0.050000000000000044,NA,NA
70,1,51,0.21982758620689655,250,enn_mn,0.0011899274023657099,0,0,NA,NA,-0.459,-0.21982758620689655,NA,NA
71,1,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
72,1,238,1,250,NA,NA,225,0.9453781512605042,enn_mn,NA,-0.117,-0.054621848739495826,NA,NA
